,Word,Sentiment
0,abandoned,1
1,abandonment,1
2,abandon,1
3,abase,1
4,abasement,1
5,abash,1
6,abate,1
7,abdicate,1
8,aberration,1
9,abhor,1
10,abhorred,1
11,abhorrence,1
12,abhorrent,1
13,abhorrently,1
14,abhors,1
15,abidance,0
16,abide,0
17,abject,1
18,abjectly,1
19,abjure,1
20,abilities,0
21,ability,0
22,able,0
23,abnormal,1
24,abolish,1
25,abominable,1
26,abominably,1
27,abominate,1
28,abomination,1
29,above,0
30,above-average,0
31,abound,0
32,abrade,1
33,abrasive,1
34,abrupt,1
35,abscond,1
36,absence,1
37,absentee,1
38,absent-minded,1
39,absolve,0
40,absurd,1
41,absurdity,1
42,absurdly,1
43,absurdness,1
44,abundant,0
45,abundance,0
46,abuse,1
47,abuses,1
48,abusive,1
49,abysmal,1
50,abysmally,1
51,abyss,1
52,accede,0
53,accept,0
54,acceptance,0
55,acceptable,0
56,accessible,0
57,accidental,1
58,acclaim,0
59,acclaimed,0
60,acclamation,0
61,accolade,0
62,accolades,0
63,accommodative,0
64,accomplish,0
65,accomplishment,0
66,accomplishments,0
67,accord,0
68,accordance,0
69,accordantly,0
70,accost,1
71,accountable,1
72,accurate,0
73,accurately,0
74,accursed,1
75,accusation,1
76,accusations,1
77,accuse,1
78,accuses,1
79,accusing,1
80,accusingly,1
81,acerbate,1
82,acerbic,1
83,acerbically,1
84,ache,1
85,achievable,0
86,achieve,0
87,achievement,0
88,achievements,0
89,acknowledge,0
90,acknowledgement,0
91,acquit,0
92,acrid,1
93,acridly,1
94,acridness,1
95,acrimonious,1
96,acrimoniously,1
97,acrimony,1
98,active,0
99,acumen,0
100,adamant,1
101,adamantly,1
102,adaptable,0
103,adaptability,0
104,adaptive,0
105,addict,1
106,addiction,1
107,adept,0
108,adeptly,0
109,adequate,0
110,adherence,0
111,adherent,0
112,adhesion,0
113,admirable,0
114,admirer,0
115,admirably,0
116,admiration,0
117,admire,0
118,admiring,0
119,admiringly,0
120,admission,0
121,admit,0
122,admittedly,0
123,admonish,1
124,admonisher,1
125,admonishingly,1
126,admonishment,1
127,admonition,1
128,adorable,0
129,adore,0
130,adored,0
131,adorer,0
132,adoring,0
133,adoringly,0
134,adrift,1
135,adroit,0
136,adroitly,0
137,adulate,0
138,adulation,0
139,adulatory,0
140,adulterate,1
141,adulterated,1
142,adulteration,1
143,advanced,0
144,advantage,0
145,advantageous,0
146,advantages,0
147,adventure,0
148,adventuresome,0
